INDEX, action count,go_forward(go),go_forward(could not go),turn right,turn left, suck up,  cleaned cell(0)
442, 1875, 380, 125, 507, 475, 513, 60 
443, 1859, 349, 141, 497, 484, 529, 52 
444, 1832, 356, 168, 468, 531, 477, 61 
445, 1867, 370, 133, 472, 510, 515, 71 
446, 1810, 310, 190, 477, 494, 529, 80 
447, 1821, 341, 179, 455, 506, 519, 46 
448, 1860, 323, 140, 534, 473, 530, 61 
449, 1841, 367, 159, 517, 459, 498, 73 
450, 1843, 353, 157, 500, 495, 495, 66 
451, 1815, 345, 185, 474, 521, 475, 61 
452, 1839, 340, 161, 512, 503, 484, 54 
453, 1846, 341, 154, 514, 489, 502, 29 
454, 1838, 348, 162, 514, 451, 525, 76 
455, 1859, 361, 141, 485, 495, 518, 69 
456, 1842, 350, 158, 523, 484, 485, 68 
457, 1830, 356, 170, 507, 474, 493, 66 
458, 1869, 330, 131, 523, 515, 501, 67 
459, 1847, 328, 153, 487, 521, 511, 31 
460, 1846, 358, 154, 492, 489, 507, 59 
461, 1833, 335, 167, 487, 502, 509, 66 
462, 1870, 367, 130, 498, 524, 481, 59 
463, 1881, 383, 119, 508, 511, 479, 62 
464, 1869, 352, 131, 511, 514, 492, 72 
465, 1821, 351, 179, 516, 457, 497, 69 
466, 1851, 355, 149, 518, 519, 459, 79 
467, 1841, 341, 159, 529, 483, 488, 48 
468, 1855, 379, 145, 481, 508, 487, 53 
469, 1844, 341, 156, 507, 507, 489, 68 
470, 1864, 350, 136, 465, 515, 534, 47 
471, 1820, 348, 180, 494, 510, 468, 82 
472, 1839, 339, 161, 498, 487, 515, 67 
473, 1847, 357, 153, 479, 511, 500, 73 
474, 1824, 329, 176, 469, 498, 528, 50 
475, 1860, 361, 140, 524, 476, 499, 57 
476, 1851, 324, 149, 519, 498, 510, 50 
477, 1820, 342, 180, 452, 505, 521, 67 
478, 1866, 365, 134, 489, 494, 518, 77 
479, 1831, 364, 169, 490, 469, 508, 88 
480, 1826, 381, 174, 491, 462, 492, 80 
481, 1882, 361, 118, 513, 496, 512, 76 
482, 1855, 363, 145, 508, 488, 496, 46 
483, 1827, 350, 173, 482, 471, 524, 83 
484, 1862, 340, 138, 500, 518, 504, 65 
485, 1875, 399, 125, 528, 464, 484, 70 
486, 1851, 370, 149, 455, 509, 517, 84 
487, 1835, 325, 165, 513, 494, 503, 43 
