Index, action count, go forward(go), turn right, turn left, suck up,  cleaned cell(0)
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 33,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 34,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 35,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 36,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 37,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
